-38.9864,-38.9861,-38.9853,-38.9841,-38.9842,-38.9842,-38.9842,-38.9842,-38.9845,-38.9845,-38.9831,-38.9826,-38.9826,-38.9820,-38.9807,-38.9806,-38.9810,-38.9807,-38.9803,-38.9807,-38.9806,-38.9801,-38.9797,-38.9801,-38.9796,-38.9784,-38.9786,-38.9791,-38.9791,-38.9778,-38.9783,-38.9782,-38.9774,-38.9761,-38.9769,-38.9765,-38.9760,-38.9761,-38.9770,-38.9769,-38.9763,-38.9762,-38.9761,-38.9753,-38.9743,-38.9744,-38.9745,-38.9743,-38.9726,-38.9733,-38.9730,-38.9722,-38.9717,-38.9721,-38.9718,-38.9710,-38.9701,-38.9703,-38.9701,-38.9694,-38.9689,-38.9685,-38.9676,-38.9671,-38.9672,-38.9671,-38.9665,-38.9655,-38.9651,-38.9649,-38.9639,-38.9626,-38.9634,-38.9627,-38.9619,-38.9605,-38.9617,-38.9614,-38.9606,-38.9607,-38.9613,-38.9607,-38.9600,-38.9595,-38.9597,-38.9594,-38.9590,-38.9584,-38.9584,-38.9580,-38.9573,-38.9571,-38.9565,-38.9559,-38.9560,-38.9558,-38.9558,-38.9553,-38.9537,-38.9535,-38.9531,-38.9529,-38.9520,-38.9521,-38.9518,-38.9523,-38.9517,-38.9519,-38.9511,-38.9510,-38.9504,-38.9504,-38.9504,-38.9504,-38.9504,-38.9485,-38.9489,-38.9481,-38.9485,-38.9480,-38.9483,-38.9474,-38.9472,-38.9472,-38.9474,-38.9477,-38.9482,-38.9484,
-36.9862,-36.9857,-36.9843,-36.9835,-36.9830,-36.9837,-36.9838,-36.9839,-36.9842,-36.9840,-36.9828,-36.9821,-36.9822,-36.9813,-36.9800,-36.9799,-36.9804,-36.9802,-36.9798,-36.9801,-36.9802,-36.9797,-36.9795,-36.9795,-36.9791,-36.9780,-36.9781,-36.9790,-36.9788,-36.9773,-36.9775,-36.9775,-36.9766,-36.9752,-36.9755,-36.9757,-36.975,-36.9754,-36.9763,-36.9763,-36.9760,-36.9755,-36.9757,-36.9749,-36.9737,-36.9738,-36.9743,-36.9741,-36.9722,-36.9727,-36.9728,-36.9719,-36.9716,-36.9716,-36.9716,-36.9709,-36.9696,-36.9700,-36.9697,-36.9688,-36.9682,-36.9679,-36.9673,-36.9665,-36.9670,-36.9668,-36.9660,-36.9649,-36.9644,-36.9641,-36.9634,-36.9621,-36.9623,-36.9621,-36.9612,-36.9601,-36.9611,-36.9609,-36.9603,-36.9600,-36.9608,-36.9598,-36.9592,-36.9587,-36.9590,-36.9587,-36.9578,-36.9572,-36.9571,-36.9570,-36.9561,-36.9559,-36.9556,-36.9549,-36.9551,-36.9551,-36.9549,-36.9544,-36.9529,-36.9523,-36.9525,-36.9517,-36.9512,-36.9513,-36.9508,-36.9508,-36.9501,-36.9507,-36.9497,-36.9497,-36.9498,-36.9494,-36.9484,-36.9477,-27.712,-36.948,-36.948,-36.9475,-36.9477,-36.9477,-36.9474,-36.9465,-36.9469,-36.9464,-36.947,-36.9479,-36.9480,-36.9479,
-34.9860,-34.9862,-34.9843,-34.9839,-34.9833,-34.9839,-34.9837,-34.9841,-34.9842,-34.9834,-34.9820,-34.9815,-34.9815,-34.9812,-34.9799,-34.9796,-34.9803,-34.9800,-34.9792,-34.9795,-34.9799,-34.9793,-34.9792,-34.9791,-34.9789,-34.9778,-34.9779,-34.9788,-34.9785,-34.9772,-34.9770,-34.9773,-34.9765,-34.9750,-34.9753,-34.9754,-34.9749,-34.9749,-34.9755,-34.9756,-34.9754,-34.9748,-34.9753,-34.9750,-34.9737,-34.9736,-34.9741,-34.9738,-34.9721,-34.9722,-34.9722,-34.9714,-34.9708,-34.9712,-34.9711,-34.9704,-34.9693,-34.9698,-34.9694,-34.9686,-34.9678,-34.9675,-34.9669,-34.9658,-34.9661,-34.9660,-34.9653,-34.9645,-34.9640,-34.9633,-34.9629,-34.9615,-34.9619,-34.9617,-34.9613,-34.9598,-34.9609,-34.9610,-34.9603,-34.9600,-34.9605,-34.9597,-34.9588,-34.9579,-34.9586,-34.9585,-34.9573,-34.9571,-34.9571,-34.9572,-34.9559,-34.9558,-34.9553,-34.9547,-34.9541,-34.9543,-34.9545,-34.9539,-34.9525,-34.9522,-34.9520,-34.9513,-34.9507,-34.9509,-34.9505,-34.9502,-34.9496,-34.9495,-34.9489,-34.9489,-34.9496,-34.9493,-34.948,-34.9470,-16.474,-34.948,-34.948,-34.9472,-34.9480,-34.9473,-34.9475,-34.9464,-34.946,-34.946,-34.946,-34.9468,-34.9477,-34.9477,
-32.9861,-32.9863,-32.9838,-32.9834,-32.9829,-32.9833,-32.9833,-32.9838,-32.9835,-32.9839,-32.9819,-32.9814,-32.9811,-32.9810,-32.9794,-32.9791,-32.9799,-32.9798,-32.9789,-32.9790,-32.9794,-32.9791,-32.9789,-32.9786,-32.9786,-32.9774,-32.9777,-32.9783,-32.9782,-32.9768,-32.9764,-32.9770,-32.9764,-32.9750,-32.9748,-32.9750,-32.9750,-32.9745,-32.9755,-32.9755,-32.9753,-32.9742,-32.9744,-32.9726,-32.9729,-32.9726,-32.9734,-32.9734,-32.9716,-32.9715,-32.9718,-32.9713,-32.9701,-32.9705,-32.9706,-32.9700,-32.9686,-32.9692,-32.9691,-32.9683,-32.9669,-32.9668,-32.9664,-32.9653,-32.9656,-32.9658,-32.9653,-32.9642,-32.9638,-32.9635,-32.9626,-32.9611,-32.9613,-32.9617,-32.9614,-32.9597,-32.9608,-32.9608,-32.9603,-32.9594,-32.9603,-32.9598,-32.9588,-32.9581,-32.9587,-32.9587,-32.9579,-32.9571,-32.9572,-32.9570,-32.9556,-32.9554,-32.9551,-32.9543,-32.9537,-32.9540,-32.9541,-32.9537,-32.9520,-32.9518,-32.9518,-32.9511,-32.9501,-32.9504,-32.9503,-32.9498,-32.9491,-32.9494,-32.9487,-32.9484,-32.9488,-32.9486,-32.9478,-32.9471,-32.9472,-32.9475,-32.9472,-32.9469,-32.9475,-32.9475,-32.9469,-32.9460,-32.946,-32.946,-32.946,-32.9463,-32.9473,-32.9471,
-30.9855,-30.9848,-30.9835,-30.9824,-30.9823,-30.9825,-30.9827,-30.9829,-30.9826,-30.983,-30.9813,-30.9810,-30.9804,-30.9804,-30.9791,-30.9789,-30.9790,-30.9789,-30.9782,-30.9781,-30.9786,-30.9784,-30.9783,-30.9779,-30.9780,-30.9767,-30.9770,-30.9775,-30.9773,-30.9761,-30.9758,-30.9763,-30.9756,-30.9740,-30.9737,-30.9723,-30.9738,-30.9701,-30.9742,-30.9748,-30.9743,-30.9737,-30.974,-30.973,-30.972,-30.9722,-30.9726,-30.9727,-30.9707,-30.9707,-30.9709,-30.9701,-30.9694,-30.9695,-30.9694,-30.9690,-30.9677,-30.9684,-30.9683,-30.9673,-30.9662,-30.9665,-30.9656,-30.9649,-30.9649,-30.9651,-30.9644,-30.9636,-30.9631,-30.9624,-30.9617,-30.9603,-30.9607,-30.9605,-30.9603,-30.9586,-30.9595,-30.9598,-30.9591,-30.9582,-30.9590,-30.9588,-30.9583,-30.9573,-30.9585,-30.9585,-30.9579,-30.9568,-30.9571,-30.9568,-30.9552,-30.9545,-30.9542,-30.9535,-30.9528,-30.9531,-30.9533,-30.9528,-30.9511,-30.9512,-30.9510,-30.9501,-30.9489,-30.9493,-30.9492,-30.9486,-30.9481,-30.9486,-30.9485,-30.9478,-30.9482,-30.9479,-30.9472,-30.9460,-30.9462,-30.9464,-30.9462,-30.9456,-30.946,-30.9463,-30.9462,-30.9451,-30.9453,-30.9455,-30.9450,-30.9456,-30.9464,-30.9464,
-28.9850,-28.984,-28.9824,-28.9821,-28.9817,-28.9817,-28.9820,-28.9823,-28.9817,-28.983,-28.9805,-28.9802,-28.9793,-28.9795,-28.9783,-28.9782,-28.9782,-28.9784,-28.9775,-28.9772,-28.9777,-28.9775,-28.9773,-28.9769,-28.9772,-28.9760,-28.9763,-28.9766,-28.9766,-28.9753,-28.9751,-28.9753,-28.9748,-28.9736,-28.9735,-28.9760,-28.9739,-28.9747,-28.9725,-28.9738,-28.9738,-28.9728,-28.9731,-28.9731,-28.9716,-28.9712,-28.9720,-28.9717,-28.9701,-28.9699,-28.9700,-28.9694,-28.9683,-28.9688,-28.9689,-28.9685,-28.9671,-28.9675,-28.9674,-28.9667,-28.9655,-28.9655,-28.9648,-28.9643,-28.9640,-28.9642,-28.9639,-28.9628,-28.9624,-28.9619,-28.9610,-28.9595,-28.9598,-28.9597,-28.9594,-28.9575,-28.9585,-28.9588,-28.9586,-28.9571,-28.9582,-28.9583,-28.9579,-28.9571,-28.9580,-28.9582,-28.9579,-28.9565,-28.9567,-28.9562,-28.9541,-28.9536,-28.9534,-28.9529,-28.9518,-28.9522,-28.9525,-28.9522,-28.9502,-28.9503,-28.9502,-28.9495,-28.9481,-28.9486,-28.9486,-28.9482,-28.9474,-28.9480,-28.9477,-28.9471,-28.9473,-28.9475,-28.9467,-28.9454,-28.9455,-28.9458,-28.9455,-28.9446,-28.9454,-28.9455,-28.9453,-28.9443,-28.9446,-28.9447,-28.9444,-28.9451,-28.9456,-28.9455,
-26.9851,-26.9840,-26.9826,-26.9827,-26.9818,-26.9817,-26.9821,-26.9828,-26.9825,-26.9823,-26.9808,-26.9808,-26.9802,-26.9800,-26.9784,-26.9783,-26.9785,-26.9788,-26.9783,-26.9781,-26.9781,-26.9780,-26.9776,-26.9773,-26.9773,-26.9761,-26.9767,-26.9768,-26.9770,-26.9754,-26.9755,-26.9759,-26.9753,-26.9739,-26.9739,-26.9746,-26.9743,-26.9741,-26.9743,-26.9748,-26.9744,-26.9734,-26.9735,-26.9729,-26.9720,-26.9719,-26.9724,-26.9722,-26.9702,-26.9703,-26.9704,-26.9699,-26.9687,-26.9691,-26.9689,-26.9686,-26.9673,-26.9679,-26.9675,-26.9670,-26.9661,-26.9658,-26.9652,-26.9644,-26.9643,-26.9645,-26.9641,-26.9635,-26.9627,-26.9622,-26.9615,-26.9600,-26.9598,-26.9599,-26.9594,-26.9580,-26.9585,-26.9588,-26.9588,-26.9579,-26.9587,-26.9589,-26.9586,-26.9575,-26.9581,-26.9584,-26.9582,-26.9566,-26.9569,-26.9563,-26.9547,-26.9538,-26.9538,-26.9531,-26.9523,-26.9524,-26.9529,-26.9525,-26.9503,-26.9504,-26.9502,-26.9496,-26.9483,-26.9491,-26.9491,-26.9483,-26.9474,-26.9485,-26.9479,-26.9473,-26.9475,-26.9477,-26.9468,-26.9455,-26.9458,-26.9459,-26.9458,-26.9447,-26.9457,-26.9459,-26.9456,-26.9447,-26.9448,-26.9450,-26.9447,-26.9452,-26.9456,-26.9461,
-24.9850,-24.9843,-24.9820,-24.9817,-24.9819,-24.9814,-24.9820,-24.9823,-24.9821,-24.9819,-24.9805,-24.9804,-24.9799,-24.9798,-24.9780,-24.9780,-24.9779,-24.9784,-24.9778,-24.9776,-24.9777,-24.9776,-24.9772,-24.9770,-24.9770,-24.9758,-24.9762,-24.9765,-24.9766,-24.9751,-24.9752,-24.9753,-24.9750,-24.9738,-24.9737,-24.9736,-24.9736,-24.9733,-24.9739,-24.9741,-24.9738,-24.9727,-24.9728,-24.9728,-24.9715,-24.9709,-24.9717,-24.9719,-24.9698,-24.9699,-24.9701,-24.9696,-24.9684,-24.9687,-24.9687,-24.9681,-24.9669,-24.9671,-24.9673,-24.9666,-24.9655,-24.9655,-24.9647,-24.9641,-24.9641,-24.9641,-24.9636,-24.9629,-24.9622,-24.9620,-24.9611,-24.9599,-24.9593,-24.9595,-24.9592,-24.9576,-24.9580,-24.9587,-24.9588,-24.9581,-24.9585,-24.9586,-24.9582,-24.9568,-24.9574,-24.9576,-24.9575,-24.9560,-24.9559,-24.9555,-24.9543,-24.9531,-24.9532,-24.9528,-24.9519,-24.9519,-24.9524,-24.9522,-24.9498,-24.9497,-24.9498,-24.9492,-24.9478,-24.9484,-24.9484,-24.9479,-24.9471,-24.9478,-24.9475,-24.9470,-24.9471,-24.9473,-24.9469,-24.9454,-24.9457,-24.9455,-24.9456,-24.9444,-24.9451,-24.9454,-24.9454,-24.9442,-24.9443,-24.9445,-24.9444,-24.9448,-24.9454,-24.9455,
-22.9840,-22.9831,-22.9814,-22.9810,-22.9808,-22.9808,-22.9810,-22.9813,-22.9815,-22.9812,-22.9796,-22.9795,-22.9790,-22.9785,-22.9772,-22.9774,-22.9773,-22.9776,-22.9770,-22.9771,-22.9768,-22.9770,-22.9763,-22.9761,-22.9761,-22.9749,-22.9755,-22.9758,-22.9756,-22.9746,-22.9744,-22.9744,-22.9741,-22.9725,-22.9726,-22.9727,-22.9726,-22.9725,-22.9732,-22.9735,-22.9727,-22.9719,-22.9720,-22.9718,-22.9704,-22.9701,-22.9706,-22.9711,-22.9690,-22.9688,-22.9691,-22.9686,-22.9674,-22.9676,-22.9677,-22.9672,-22.9657,-22.9662,-22.9662,-22.9655,-22.9644,-22.9644,-22.9637,-22.9630,-22.9629,-22.9632,-22.9629,-22.9621,-22.9613,-22.9607,-22.9598,-22.9584,-22.9581,-22.9580,-22.9582,-22.9568,-22.9572,-22.9580,-22.9580,-22.9577,-22.9575,-22.9576,-22.9572,-22.9558,-22.9562,-22.9564,-22.9563,-22.9548,-22.9547,-22.9543,-22.9534,-22.9523,-22.9524,-22.9519,-22.9512,-22.9506,-22.9511,-22.9510,-22.9492,-22.9488,-22.9489,-22.9485,-22.9469,-22.9477,-22.9478,-22.9471,-22.9457,-22.9469,-22.9469,-22.9461,-22.9457,-22.9461,-22.9461,-22.9443,-22.9445,-22.9448,-22.9447,-22.9430,-22.9441,-22.9443,-22.9445,-22.9431,-22.9437,-22.9434,-22.9437,-22.9436,-22.9446,-22.9446,
-20.9841,-20.9835,-20.9815,-20.9810,-20.9811,-20.9809,-20.9808,-20.9815,-20.9814,-20.9813,-20.9797,-20.9794,-20.9790,-20.9786,-20.9772,-20.9773,-20.9774,-20.9778,-20.9768,-20.9771,-20.9768,-20.9769,-20.9763,-20.9763,-20.9763,-20.9750,-20.9754,-20.9755,-20.9754,-20.9739,-20.9743,-20.9743,-20.9739,-20.9727,-20.9728,-20.9728,-20.9728,-20.9728,-20.9727,-20.9730,-20.9728,-20.9717,-20.9720,-20.9719,-20.9708,-20.9702,-20.9708,-20.9709,-20.9691,-20.9690,-20.9693,-20.9687,-20.9673,-20.9677,-20.9677,-20.9675,-20.9656,-20.9663,-20.9663,-20.9656,-20.9646,-20.9644,-20.9636,-20.9629,-20.9629,-20.9631,-20.9627,-20.9617,-20.9612,-20.9604,-20.9595,-20.9583,-20.9580,-20.9580,-20.9585,-20.9574,-20.9573,-20.9579,-20.9582,-20.9577,-20.9575,-20.9574,-20.9573,-20.9559,-20.9559,-20.9561,-20.9560,-20.9549,-20.9543,-20.9541,-20.9534,-20.9523,-20.9522,-20.9517,-20.9510,-20.9504,-20.9509,-20.9509,-20.9490,-20.9487,-20.9486,-20.9486,-20.9468,-20.9473,-20.9476,-20.9471,-20.9455,-20.9468,-20.9468,-20.9460,-20.9457,-20.9461,-20.9458,-20.9442,-20.9439,-20.9446,-20.9446,-20.9429,-20.9440,-20.9439,-20.9444,-20.9428,-20.9430,-20.9431,-20.9436,-20.9435,-20.9444,-20.9444,
-18.9850,-18.9845,-18.9822,-18.9817,-18.9818,-18.9814,-18.9818,-18.9820,-18.9819,-18.9817,-18.9801,-18.9801,-18.9796,-18.9790,-18.9779,-18.9779,-18.9778,-18.9783,-18.9776,-18.9776,-18.9778,-18.9775,-18.9773,-18.9771,-18.9767,-18.9757,-18.9757,-18.9763,-18.9762,-18.9748,-18.9750,-18.9753,-18.9744,-18.9732,-18.9735,-18.9736,-18.9731,-18.9733,-18.9736,-18.9739,-18.9736,-18.9727,-18.9727,-18.9722,-18.9709,-18.9707,-18.9710,-18.9713,-18.9696,-18.9695,-18.9699,-18.9694,-18.9680,-18.9684,-18.9687,-18.9682,-18.9665,-18.9671,-18.9668,-18.9659,-18.9648,-18.9650,-18.9642,-18.9635,-18.9635,-18.9637,-18.9631,-18.9620,-18.9617,-18.9610,-18.9604,-18.9591,-18.9588,-18.9589,-18.9591,-18.9580,-18.9580,-18.9586,-18.9589,-18.9585,-18.9581,-18.9581,-18.9579,-18.9568,-18.9564,-18.9565,-18.9566,-18.9558,-18.9550,-18.9549,-18.9540,-18.9528,-18.9526,-18.9522,-18.9517,-18.9512,-18.9515,-18.9515,-18.9498,-18.9492,-18.9493,-18.9490,-18.9476,-18.9479,-18.9483,-18.9480,-18.9463,-18.9473,-18.9475,-18.9468,-18.9463,-18.9467,-18.9465,-18.9453,-18.9445,-18.9449,-18.9452,-18.9437,-18.9445,-18.9445,-18.9450,-18.9435,-18.9438,-18.9438,-18.9442,-18.9444,-18.9448,-18.9451,
-16.9855,-16.9850,-16.9827,-16.9823,-16.9826,-16.9823,-16.9824,-16.9825,-16.9827,-16.9825,-16.9808,-16.9807,-16.9803,-16.9798,-16.9788,-16.9788,-16.9787,-16.9788,-16.9784,-16.9784,-16.9786,-16.9784,-16.9781,-16.9776,-16.9773,-16.9762,-16.9766,-16.9771,-16.9768,-16.9755,-16.9757,-16.9760,-16.9754,-16.9741,-16.9742,-16.9743,-16.9740,-16.9744,-16.9744,-16.9746,-16.9746,-16.9736,-16.9737,-16.9733,-16.9721,-16.9715,-16.9722,-16.9723,-16.9706,-16.9703,-16.9705,-16.9702,-16.9690,-16.9692,-16.9693,-16.9691,-16.9671,-16.9679,-16.9675,-16.9665,-16.9653,-16.9656,-16.9650,-16.9643,-16.9641,-16.9643,-16.9639,-16.9630,-16.9627,-16.9621,-16.9616,-16.9601,-16.9597,-16.9596,-16.9601,-16.9589,-16.9591,-16.9593,-16.9597,-16.9593,-16.9588,-16.9589,-16.9585,-16.9577,-16.9570,-16.9571,-16.9571,-16.9567,-16.9557,-16.9555,-16.9547,-16.9537,-16.9533,-16.9531,-16.9527,-16.9524,-16.9523,-16.9522,-16.9509,-16.9502,-16.9500,-16.9500,-16.9485,-16.9487,-16.9491,-16.9488,-16.9475,-16.9481,-16.9485,-16.9478,-16.9470,-16.9474,-16.9471,-16.9461,-16.9455,-16.9459,-16.9456,-16.9447,-16.9454,-16.9457,-16.9460,-16.9444,-16.9446,-16.9448,-16.9448,-16.9450,-16.9456,-16.9459,
